,species,latitude,longitude,nummosquitos,month,day,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,Sunrise,Sunset,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,wnvpresent
40,3,41.921965,-87.632085,3,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
41,3,41.688324,-87.676709,4,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
42,2,41.720848,-87.666014,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
43,2,41.731922,-87.677512,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
44,3,41.731922,-87.677512,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
45,1,41.731922,-87.677512,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
46,2,41.999129,-87.795585,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
47,3,41.999129,-87.795585,9,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
48,3,41.907645,-87.760886,3,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
49,3,41.732984,-87.649642,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
50,3,41.981964,-87.812827,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
51,3,41.944869,-87.832763,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
52,3,42.011601,-87.811506,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
53,3,41.94983,-87.698457,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
54,3,41.979243,-87.750938,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
55,3,41.986921,-87.689778,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
56,2,41.801498,-87.763416,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
57,3,41.906638,-87.701431,3,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
58,3,41.723195,-87.64997,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
59,2,41.868077,-87.666901,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
60,3,41.868077,-87.666901,7,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
61,2,41.869216,-87.627561,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
62,2,41.662014,-87.724608,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
63,3,41.662014,-87.724608,4,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
64,1,41.662014,-87.724608,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
65,2,41.961743,-87.76007,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
66,3,41.961743,-87.76007,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
67,2,41.953067,-87.776792,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
68,3,41.953067,-87.776792,3,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
69,3,41.878114,-87.629798,3,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
70,2,41.958271,-87.702575,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
71,3,41.958271,-87.702575,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
72,3,41.932094,-87.700117,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
73,2,41.994469,-87.667736,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
74,3,42.006858,-87.675919,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
75,2,41.916265,-87.800515,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
76,3,41.916265,-87.800515,10,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
77,3,41.846075,-87.716277,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
78,3,41.918705,-87.752329,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
79,2,41.682587,-87.707973,3,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
80,3,41.682587,-87.707973,8,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
81,2,41.725517,-87.614258,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
82,2,41.948167,-87.730698,2,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
83,3,41.948167,-87.730698,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
84,3,41.963976,-87.69181,1,6,5,64,47,56,-9,48,51.0,0,417,1923,29.1,29.79,5.2,5,7.6,0
85,2,41.95469,-87.800991,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
86,3,41.95469,-87.800991,4,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
87,4,41.95469,-87.800991,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
88,2,41.994991,-87.769279,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
89,3,41.994991,-87.769279,4,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
90,3,41.974089,-87.824812,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
91,2,41.9216,-87.666455,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
92,3,41.9216,-87.666455,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
93,2,41.891118,-87.654491,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
94,3,41.891118,-87.654491,6,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
95,2,41.867108,-87.654224,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
96,3,41.896282,-87.655232,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
97,3,41.919343,-87.694259,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
98,2,41.688324,-87.676709,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
99,2,41.688324,-87.676709,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
100,3,41.688324,-87.676709,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
101,3,41.731922,-87.677512,5,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
102,2,41.891126,-87.61156,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
103,3,41.891126,-87.61156,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
104,2,41.999129,-87.795585,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
105,3,41.999129,-87.795585,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
106,2,42.01743,-87.687769,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
107,3,42.01743,-87.687769,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
108,2,41.944869,-87.832763,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
109,3,41.944869,-87.832763,4,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
110,2,42.011601,-87.811506,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
111,3,42.011601,-87.811506,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
112,3,41.94983,-87.698457,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
113,2,41.979243,-87.750938,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
114,2,41.986921,-87.689778,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
115,3,41.986921,-87.689778,9,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
116,2,41.906638,-87.701431,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
117,3,41.906638,-87.701431,3,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
118,2,41.868077,-87.666901,10,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
119,3,41.868077,-87.666901,19,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
120,1,41.868077,-87.666901,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
121,2,41.662014,-87.724608,20,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
122,3,41.662014,-87.724608,25,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
123,1,41.662014,-87.724608,6,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
124,2,41.961743,-87.76007,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
125,3,41.961743,-87.76007,3,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
126,3,41.953067,-87.776792,4,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
127,3,41.878114,-87.629798,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
128,3,41.958271,-87.702575,6,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
129,3,41.932094,-87.700117,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
130,3,42.006858,-87.675919,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
131,2,41.916265,-87.800515,3,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
132,3,41.916265,-87.800515,6,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
133,2,41.682587,-87.707973,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
134,3,41.682587,-87.707973,4,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
135,3,41.963976,-87.69181,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
136,2,41.953705,-87.733974,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
137,3,41.964242,-87.757639,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
138,2,41.990284,-87.797127,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
139,3,41.990284,-87.797127,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
140,3,42.008314,-87.777921,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
141,2,41.991429,-87.747113,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
142,3,41.843811,-87.686763,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
143,3,41.921177,-87.79518,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
144,2,41.852652,-87.719887,5,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
145,3,41.852652,-87.719887,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
146,3,41.857402,-87.694991,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
147,2,41.868142,-87.696269,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
148,3,41.868142,-87.696269,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
149,2,41.846283,-87.656913,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
150,3,41.721474,-87.648064,2,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
151,1,41.869107,-87.696293,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
152,2,41.719059,-87.675088,3,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
153,3,41.719059,-87.675088,5,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
154,3,41.966987,-87.674677,1,6,26,92,70,81,10,69,72.0,16,418,1931,29.39,30.11,6.1,22,7.1,0
155,2,41.95469,-87.800991,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
156,2,41.974089,-87.824812,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
157,3,41.974089,-87.824812,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
158,3,41.891118,-87.654491,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
159,2,41.921965,-87.632085,3,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
160,3,41.688324,-87.676709,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
161,1,41.688324,-87.676709,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
162,2,41.862292,-87.64886,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
163,3,41.731922,-87.677512,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
164,3,41.999129,-87.795585,3,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
165,2,42.01743,-87.687769,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
166,3,42.01743,-87.687769,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
167,3,41.907645,-87.760886,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
168,2,42.011601,-87.811506,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
169,2,41.986921,-87.689778,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
170,3,41.986921,-87.689778,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
171,1,41.801498,-87.763416,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
172,3,41.723195,-87.64997,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
173,2,41.868077,-87.666901,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
174,3,41.868077,-87.666901,6,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
175,1,41.868077,-87.666901,3,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
176,3,41.662014,-87.724608,3,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
177,3,41.961743,-87.76007,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
178,3,41.953067,-87.776792,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
179,3,41.878114,-87.629798,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
180,3,41.958271,-87.702575,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
181,3,42.006858,-87.675919,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
182,2,41.916265,-87.800515,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
183,3,41.916265,-87.800515,5,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
184,3,41.682587,-87.707973,6,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
185,3,41.948167,-87.730698,5,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
186,3,41.990284,-87.797127,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
187,2,41.991429,-87.747113,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
188,2,41.857402,-87.694991,2,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
189,3,41.857402,-87.694991,3,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
190,2,41.721474,-87.648064,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
191,1,41.721474,-87.648064,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
192,2,41.923738,-87.785288,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
193,3,41.970248,-87.787992,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
194,3,42.010412,-87.66214,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
195,2,41.89923,-87.716788,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
196,3,41.89923,-87.716788,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
197,2,41.692555,-87.598865,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
198,3,41.692555,-87.598865,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
199,2,41.94016,-87.794896,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
200,2,41.903002,-87.688267,1,6,29,70,56,63,-8,55,59.0,0,419,1931,29.41,30.13,7.6,2,8.3,0
201,2,41.95469,-87.800991,3,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
202,3,41.95469,-87.800991,2,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
203,2,41.994991,-87.769279,4,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
204,3,41.994991,-87.769279,4,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
205,2,41.974089,-87.824812,3,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
206,2,41.9216,-87.666455,2,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
207,3,41.9216,-87.666455,2,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
208,2,41.891118,-87.654491,3,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
209,3,41.891118,-87.654491,16,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
210,3,41.867108,-87.654224,1,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
211,2,41.921965,-87.632085,2,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
212,3,41.921965,-87.632085,1,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
213,2,41.688324,-87.676709,2,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
214,3,41.688324,-87.676709,3,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
215,2,41.731922,-87.677512,3,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
216,3,41.731922,-87.677512,4,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
217,1,41.731922,-87.677512,3,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
218,2,41.891126,-87.61156,2,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
219,3,41.891126,-87.61156,1,7,2,79,53,66,-6,50,58.0,1,420,1931,29.49,30.22,5.9,14,8.1,0
